usec_before usec_after emin_after det acc_day plike_hz dlike_hz
700 700 10.0 1 9.6616 60.5581 0.0092
700 700 10.0 2 9.0681 59.1746 0.0089
1000 400 3.0 1 9.0613 60.4632 0.0087
1000 400 3.0 2 8.6887 59.0885 0.0085
1000 200 3.0 1 9.0603 60.4629 0.0087
1000 200 3.0 2 8.6878 59.0878 0.0085
700 400 3.0 1 9.0834 60.5480 0.0087
700 400 3.0 2 8.6701 59.1650 0.0085
700 200 8.0 1 9.3638 60.5535 0.0089
700 200 8.0 2 8.8990 59.1708 0.0087
1000 700 3.0 1 9.0629 60.4641 0.0087
1000 700 3.0 2 8.6747 59.0897 0.0085
400 700 3.0 1 9.2362 60.5976 0.0088
400 700 3.0 2 8.7379 59.2199 0.0085
1000 1000 0.7 1 8.8837 60.6841 0.0085
1000 1000 0.7 2 8.1233 59.2880 0.0079
400 1000 3.0 1 9.2378 60.5986 0.0088
400 1000 3.0 2 8.7244 59.2214 0.0085
1000 1000 3.0 1 9.0645 60.4651 0.0087
1000 1000 3.0 2 8.6606 59.0911 0.0085
400 700 0.7 1 9.0378 60.6861 0.0086
400 700 0.7 2 8.2207 59.2940 0.0080
1000 400 10.0 1 9.6174 60.4735 0.0092
1000 400 10.0 2 9.0934 59.0983 0.0089
700 1000 10.0 1 9.6616 60.5581 0.0092
700 1000 10.0 2 9.0681 59.1746 0.0089
400 700 8.0 1 9.5254 60.6020 0.0091
400 700 8.0 2 8.9915 59.2243 0.0088
700 1000 3.0 1 9.0866 60.5500 0.0087
700 1000 3.0 2 8.6425 59.1676 0.0085
400 700 10.0 1 9.8181 60.6066 0.0094
400 700 10.0 2 9.1578 59.2282 0.0089
700 1000 0.7 1 8.9038 60.7702 0.0085
700 1000 0.7 2 8.1219 59.3646 0.0079
700 400 10.0 1 9.6616 60.5582 0.0092
700 400 10.0 2 9.0681 59.1746 0.0089
400 400 10.0 1 9.8181 60.6067 0.0094
400 400 10.0 2 9.1578 59.2282 0.0089
700 700 3.0 1 9.0850 60.5490 0.0087
700 700 3.0 2 8.6563 59.1662 0.0085
400 200 10.0 1 9.8181 60.6066 0.0094
400 200 10.0 2 9.1578 59.2282 0.0089
1000 700 0.7 1 8.8685 60.5517 0.0085
1000 700 0.7 2 8.1561 59.1603 0.0080
1000 200 10.0 1 9.6174 60.4735 0.0092
1000 200 10.0 2 9.0934 59.0983 0.0089
700 400 8.0 1 9.3638 60.5534 0.0089
700 400 8.0 2 8.8990 59.1708 0.0087
1000 1000 8.0 1 9.3305 60.4686 0.0089
1000 1000 8.0 2 8.9215 59.0942 0.0087
1000 200 8.0 1 9.3305 60.4688 0.0089
1000 200 8.0 2 8.9215 59.0943 0.0087
400 400 3.0 1 9.2346 60.5968 0.0088
400 400 3.0 2 8.7515 59.2187 0.0086
700 400 0.7 1 8.8060 60.5369 0.0084
700 400 0.7 2 8.1998 59.1524 0.0080
700 700 8.0 1 9.3638 60.5534 0.0089
700 700 8.0 2 8.8990 59.1707 0.0087
400 1000 0.7 1 9.0614 60.8160 0.0086
400 1000 0.7 2 8.1949 59.4188 0.0080
400 1000 8.0 1 9.5254 60.6019 0.0091
400 1000 8.0 2 8.9915 59.2243 0.0088
400 400 8.0 1 9.5254 60.6021 0.0091
400 400 8.0 2 8.9915 59.2244 0.0088
400 1000 10.0 1 9.8181 60.6066 0.0094
400 1000 10.0 2 9.1578 59.2282 0.0089
700 700 0.7 1 8.8856 60.6381 0.0085
700 700 0.7 2 8.1519 59.2381 0.0080
700 200 0.7 1 8.8704 60.5136 0.0085
700 200 0.7 2 8.3015 59.1302 0.0081
1000 200 0.7 1 8.8422 60.4268 0.0085
1000 200 0.7 2 8.3122 59.0522 0.0081
1000 1000 10.0 1 9.6174 60.4735 0.0092
1000 1000 10.0 2 9.0934 59.0983 0.0089
700 200 3.0 1 9.0824 60.5477 0.0087
700 200 3.0 2 8.6692 59.1643 0.0085
400 200 8.0 1 9.5254 60.6021 0.0091
400 200 8.0 2 8.9915 59.2244 0.0088
400 400 0.7 1 8.9540 60.5869 0.0086
400 400 0.7 2 8.2793 59.2080 0.0081
400 200 3.0 1 9.2336 60.5964 0.0088
400 200 3.0 2 8.7505 59.2181 0.0086
1000 400 0.7 1 8.7906 60.4495 0.0084
1000 400 0.7 2 8.2071 59.0739 0.0080
1000 700 8.0 1 9.3305 60.4687 0.0089
1000 700 8.0 2 8.9215 59.0942 0.0087
400 200 0.7 1 9.0291 60.5636 0.0086
400 200 0.7 2 8.3766 59.1852 0.0082
700 1000 8.0 1 9.3638 60.5533 0.0089
700 1000 8.0 2 8.8990 59.1706 0.0087
700 200 10.0 1 9.6616 60.5582 0.0092
700 200 10.0 2 9.0681 59.1746 0.0089
1000 700 10.0 1 9.6174 60.4735 0.0092
1000 700 10.0 2 9.0934 59.0983 0.0089
1000 400 8.0 1 9.3305 60.4687 0.0089
1000 400 8.0 2 8.9215 59.0943 0.0087
