usec_before usec_after emin_after det acc_day
700 700 10.0 1.0 9.6616
700 700 10.0 2.0 9.0681
1000 400 3.0 1.0 9.0613
1000 400 3.0 2.0 8.6887
1000 200 3.0 1.0 9.0603
1000 200 3.0 2.0 8.6878
700 400 3.0 1.0 9.0834
700 400 3.0 2.0 8.6701
700 200 8.0 1.0 9.3638
700 200 8.0 2.0 8.8990
1000 700 3.0 1.0 9.0629
1000 700 3.0 2.0 8.6747
400 700 3.0 1.0 9.2362
400 700 3.0 2.0 8.7379
1000 1000 0.7 1.0 8.8837
1000 1000 0.7 2.0 8.1233
400 1000 3.0 1.0 9.2378
400 1000 3.0 2.0 8.7244
1000 1000 3.0 1.0 9.0645
1000 1000 3.0 2.0 8.6606
400 700 0.7 1.0 9.0378
400 700 0.7 2.0 8.2207
1000 400 10.0 1.0 9.6174
1000 400 10.0 2.0 9.0934
700 1000 10.0 1.0 9.6616
700 1000 10.0 2.0 9.0681
400 700 8.0 1.0 9.5254
400 700 8.0 2.0 8.9915
700 1000 3.0 1.0 9.0866
700 1000 3.0 2.0 8.6425
400 700 10.0 1.0 9.8181
400 700 10.0 2.0 9.1578
700 1000 0.7 1.0 8.9038
700 1000 0.7 2.0 8.1219
700 400 10.0 1.0 9.6616
700 400 10.0 2.0 9.0681
400 400 10.0 1.0 9.8181
400 400 10.0 2.0 9.1578
700 700 3.0 1.0 9.0850
700 700 3.0 2.0 8.6563
400 200 10.0 1.0 9.8181
400 200 10.0 2.0 9.1578
1000 700 0.7 1.0 8.8685
1000 700 0.7 2.0 8.1561
1000 200 10.0 1.0 9.6174
1000 200 10.0 2.0 9.0934
700 400 8.0 1.0 9.3638
700 400 8.0 2.0 8.8990
1000 1000 8.0 1.0 9.3305
1000 1000 8.0 2.0 8.9215
1000 200 8.0 1.0 9.3305
1000 200 8.0 2.0 8.9215
400 400 3.0 1.0 9.2346
400 400 3.0 2.0 8.7515
700 400 0.7 1.0 8.8060
700 400 0.7 2.0 8.1998
700 700 8.0 1.0 9.3638
700 700 8.0 2.0 8.8990
400 1000 0.7 1.0 9.0614
400 1000 0.7 2.0 8.1949
400 1000 8.0 1.0 9.5254
400 1000 8.0 2.0 8.9915
400 400 8.0 1.0 9.5254
400 400 8.0 2.0 8.9915
400 1000 10.0 1.0 9.8181
400 1000 10.0 2.0 9.1578
700 700 0.7 1.0 8.8856
700 700 0.7 2.0 8.1519
700 200 0.7 1.0 8.8704
700 200 0.7 2.0 8.3015
1000 200 0.7 1.0 8.8422
1000 200 0.7 2.0 8.3122
1000 1000 10.0 1.0 9.6174
1000 1000 10.0 2.0 9.0934
700 200 3.0 1.0 9.0824
700 200 3.0 2.0 8.6692
400 200 8.0 1.0 9.5254
400 200 8.0 2.0 8.9915
400 400 0.7 1.0 8.9540
400 400 0.7 2.0 8.2793
400 200 3.0 1.0 9.2336
400 200 3.0 2.0 8.7505
1000 400 0.7 1.0 8.7906
1000 400 0.7 2.0 8.2071
1000 700 8.0 1.0 9.3305
1000 700 8.0 2.0 8.9215
400 200 0.7 1.0 9.0291
400 200 0.7 2.0 8.3766
700 1000 8.0 1.0 9.3638
700 1000 8.0 2.0 8.8990
700 200 10.0 1.0 9.6616
700 200 10.0 2.0 9.0681
1000 700 10.0 1.0 9.6174
1000 700 10.0 2.0 9.0934
1000 400 8.0 1.0 9.3305
1000 400 8.0 2.0 8.9215
